28 Feb 2022 - 12:26:08.565 [restartedMain] INFO  c.s.e.EmployeeManagementSystem1Application - Starting EmployeeManagementSystem1Application using Java 16.0.2 on LAPTOP-L2REGDJ0 with PID 19472 (C:\Users\MONALISA\Documents\workspace-spring-tool-suite-4-4.12.0.RELEASE\EmployeeManagementSystem1\target\classes started by MONALISA in C:\Users\MONALISA\Documents\workspace-spring-tool-suite-4-4.12.0.RELEASE\EmployeeManagementSystem1)
28 Feb 2022 - 12:26:08.566 [restartedMain] INFO  c.s.e.EmployeeManagementSystem1Application - No active profile set, falling back to default profiles: default
28 Feb 2022 - 12:26:08.701 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
28 Feb 2022 - 12:26:08.711 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 7 ms. Found 1 JPA repository interfaces.
28 Feb 2022 - 12:26:08.776 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8085 (http)
28 Feb 2022 - 12:26:08.776 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
28 Feb 2022 - 12:26:08.776 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.56]
28 Feb 2022 - 12:26:08.793 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
28 Feb 2022 - 12:26:08.793 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 225 ms
28 Feb 2022 - 12:26:08.818 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
28 Feb 2022 - 12:26:08.822 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-10 - Starting...
28 Feb 2022 - 12:26:08.839 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-10 - Start completed.
28 Feb 2022 - 12:26:08.839 [restartedMain] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
28 Feb 2022 - 12:26:08.865 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
28 Feb 2022 - 12:26:08.865 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
28 Feb 2022 - 12:26:08.921 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
28 Feb 2022 - 12:26:08.981 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
28 Feb 2022 - 12:26:08.989 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8085 (http) with context path ''
28 Feb 2022 - 12:26:08.994 [restartedMain] INFO  c.s.e.EmployeeManagementSystem1Application - Started EmployeeManagementSystem1Application in 0.481 seconds (JVM running for 3265.4)
28 Feb 2022 - 12:26:08.996 [restartedMain] INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - Condition evaluation unchanged
28 Feb 2022 - 12:26:35.316 [http-nio-8085-exec-2] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
28 Feb 2022 - 12:26:35.317 [http-nio-8085-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
28 Feb 2022 - 12:26:35.318 [http-nio-8085-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
28 Feb 2022 - 12:26:35.326 [http-nio-8085-exec-2] INFO  c.s.e.controller.EmployeeController - Employee has been added!!!!Employee(id=0, firstName=ruma, lastName=chakraborty, email=ruma@gmail.com) done on Mon Feb 28 12:26:35 PST 2022
28 Feb 2022 - 12:26:35.326 [http-nio-8085-exec-2] INFO  c.s.ems.service.impl.EmployeeService - Inside servive Layer!!!!Mon Feb 28 12:26:35 PST 2022
28 Feb 2022 - 12:35:29.421 [RMI TCP Connection(102)-127.0.0.1] INFO  o.s.b.a.SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin - Application shutdown requested.
28 Feb 2022 - 12:35:29.572 [RMI TCP Connection(102)-127.0.0.1] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
28 Feb 2022 - 12:35:29.573 [RMI TCP Connection(102)-127.0.0.1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-10 - Shutdown initiated...
28 Feb 2022 - 12:35:29.576 [RMI TCP Connection(102)-127.0.0.1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-10 - Shutdown completed.
